Acronym/Jargon,What does it stand for?,Explanation
ISUP,ISDN User Part,
IT Assets,,IT hardare
IT System,,The method of processing and storing information on a computer which is accessed by users wishing to use the information over its connecting network. 
IT&T,Information Technology & Telecommunications. ,
ITA,International Telegraph Alphabet ,
ITC,International Teletraffic Congress ,
ITC&C,IT capacity & capabilities,
ITIL,Information Technology Infrastructure Library,"A set of concepts and practices for Information Technology Services Management (ITSM), Information Technology (IT) development and IT operations. ITIL gives detailed descriptions of a number of important IT practices and provides comprehensive checklists,"
ITIL,IT Infrastructure Library  (service management methodology),
ITIL,Information Technology Infrastructure Library,Set of practices for IT service management (ITSM) that focuses on aligning IT services with the needs of business
ITP,Instruction To Proceed ,
ITSC,Internatinal Telecommunications Standards Confererence ,
ITSP,Internet Telephony Service Provider ,
ITSTC,Information Technology Steering Committee ,
ITT,International Telephone & Telegraph,
ITU,International Telecommunications Union,A group of representatives from 161 countries headquartered in Geneva. The ITU publishes recommendations that influence telecom engineers
ITUSA,Information Technology Users' Standarisation Sector ,
ITU-T,International Telecommunication Union Telecommunication Standardisation Sector,International body that develops worldwide standards for telecommunications technologies. The ITU-T carries out the functions of the former CCITT. 
IUR,Interconnect Usage Report ,
IUU,Intelligent Utility Unit ,
IVDT,Integrated Voice & Date Terminal ,
iView,iView,"Fixed Enterprise online bill presentment tool, sitting within Vodafone OnePortal. The tool provides customers with access to bills online, query-raising, PO management and billing analytics"
IVN,Intervening Network ETSI TC BT ,
IVPN,International Virtual Private Networks ,
IVR,Intelligent Voice Recognition,
IVR,Interactive Voice Response,Term used to describe systems that provide information in the form of recorded messages over telephone lines in response to user input in the form of spoken words or more commonly DTMF signalling. Examples include banks that allow you to check your balance from any telephone and automated stock quote systems. 
IVR,Interactive Voice Response,sks customers to press a button on their telephone key pad to select which service they want. The technology then routes the call to the most appropriate agent to handle the enquiry
IWF,Internet Watchdog Federation,
IWF,Internet Watchdog Federation,
IWU,Interworking Unit ETSI TC BT ,
JAIN,Java Intelligent Network,
JANET,Joint Academic Network,X.25 WAN connecting university and research institutions in the United Kingdom. 
Java,,An object-oriented programming language developed by Sun Microsystems
JavaScript,,A quick and simple scripting language for Web pages that can be embedded nto HTML
JavaSpace,,This is a JINI service in which the JavaSpace server holds entries or categorised groups of objects. An entry can be written in space
JB,Junction Box ,
JCG,Joint Co-ordination Group CEN/CENELEC/ETSI ,
JEDEC,Joint Electron Device Engineering Council ,
JEEC,Joint ECMA / ETSICommittee ,
JINI,The name is deriived from genie,
JIT,Just In Time ,
Jitter,,Analogue communication line distortion caused by the variation of a signal from its reference timing positions. Jitter can cause data loss
JK,Jack as in telephone jack ,
JPEG,Joint Photographic Experts Group. A common graphics format for compressing still images,
JPG,Joint Presidents's Group ,
JRC,Joint Radio Committee ,
JRTIC,Joint Radiophone Technical Interfaces Group ,
JS,JavaScript,"a dynamic computer programming language most commonly used as part of web browsers, whose implementations allow client-side scripts to interact with the user."
JTC,Joint Technical Committee EBU/ETSI and ISO/IEC ,
JTCG,Joint Technical Co-ordination Group ,
JTS,Job Transfer System. ,
Jumper,,Electrical switch consisting of a number ofpins and a connector that can be attached to the pins in a variety of different ways. Different circuits are created by attaching the connector to different parts. 
kb,kilobit,
KB,Kilobyte,
Kbps,Kilobits per second ,
KBps,Kilobytes per second ,
KBS,Knowledge Based System ,
KEMA,,N.V.Keuring van Electrotechnische Materialen Private laboratory for regulatory testing
Key Success Factors,,Key Success Factors are issues which are important to the strategic goals of the business and which are used to measure the perfomance of the business function. 
KH,Key Holder,
kHz,Kilohertz,
Kiosk,,An unattended public communication node network terminal to which access is provided via a specially designated number. Generally used for reaching value added services without having to directly contact the service provider. 
KPI,Key Performance Indicator,"Defines the targets and measures against which the Centre, the Teams and the Agents must perform. Usually based on a balanced scorecard of measures covering both efficiency and effectiveness"
KPI,KEY PERFORMANCE INDICATOR,
KTILA,,Development Centre for Telecomminications Greece 
KTS,Key Telephone System. ,
L/D or LD,Loop Disconnect ,
L0 –G0 ,IDEA,
LA,Local account,
LAI,Local Area Identification / Identify ,
LAMs,Line Adapter Modules ,
LAN,Local Area Network,"A computer network that connects computers and devices in a limited geographical area such as home, school, computer laboratory or office building."
LAN Switch,,High speed switch that forwards packets between data-link segments. Most LAN switches forward traffic based on MAC addresses. This variety of LAN switch is sometimes called a frame switch. LAN switches are often categorised according to the method they use to forward traffic: cut-through packet switching or store-and forward packet switching. Multilayer switches are an intelligent subset of LAN switches. 
LANS,Local Area Network Services ,
LAP,Link Access Procedure,A set of ITU-TSS data-link error correction protocols for X.25 packet switching networks. Versions include LAP-B
LAPB,Link Access Procedure,
LAPD,Link Access Procedure on the D Channel,ISDN data link layer protocol for the D channel. LAPD was derived from the LAPB protocol and is designed primarily to satisfy the signalling requirements of ISDN basic access. 
LATA,,Local Access & Transport Area. 
Latency,,Technical term for waiting time or time delay. Basically
LaTex,,A series of macros for the text description language TeX
Layer,,A technique to facilitate faster and simpler writing of complex software. It constitutes layers of software on top of other layers
LBE,LATEST BEST ESTIMATE,
LBO,Local Breakout ,
LBS,Location based Services,Service that help emergency services (or AA) locate location of a customer
LCD,Liquid Crystal Display ,
LCI,Logical Channel Identifier ,
LCLS,Local Call Local Switch,
LCN,Local Communication Network ,
LCN,Logical Channel Number ,
LCR,Least Costing Routing. ,
LCS,Location Services,
LDAP,Lightweight Directory Access Protocol,Application protocol for accessing and maintaining distributed directory information services over an Internet Protocol (IP) network
LDP,Label Distribution Protocol,
LE,Local Exchange ,
Lead,,A sales query following communication with an existing customer or prospect.e.g request for basic information about Thus or it's products 
Leased Line,,A transmission facility which is leased by an end user from a public carrier
LED,Light Emitting Diode,A semi-conductor diode that emits light when a current passes through it. Often used as indicators in alphanumberic displays on calculators and computerised devices. 
Legacy Database,,Generally outdated
LELIT,Line Earth Loop Impedence Tester ,
LFR,Less Favoured Region ,
Liability,,The ownership of the cause of an incident 
Libra-Gemini,Libra Gemini,"Non-Corporate Customer database for inventory, ordering, billing and reporting"
Licence,,Any non
LIFO,Last In First Out,A queuing method in which the last item stored is the first to be retrieved. Opposite to FIFO. 
LIG,Middletier / supports provisioning between Singleserve (Ireland) and NGIN (Spain),
Likelihood,,A quantitative estimate of the prospective unavailablility of a resource due to malfunction or loss. 
LIM,Line interface module,
Line,,Any communication channel 
Line Adaptor,,Similar to a modem. Adevice that converts digital bits into signals suitable for transmission
Line Amplifier,,"A two-way device used in long haul channels that amplifies transmitted signals by providing a continuous strong signal in order to maintain the ""signal-to-noise"" ration S/N. Requires tuning for optimum results. "
Line Attenuation,,The attenuation of a line is a function of its structure
Line Distortion,,As distortion is a source of errors on a communications line
Line Manager,,A manager with the responsibility for the provision of specific services within the business. 
Link,,A communication channel
Linux,,A freeware compatible version of a powerful UNIX operating system for Intel-based systems that can be downloaded free of charge from the Internet. Created by Linus Torvalds of Finland. 
LIPA-SIPTO,Local IP Access and Selected IP Traffic Offload,
Literal,,Characters that should be displayed as they were typed without any translation of codes. 
LJU,Line Jack Unit ,
LLC,Logical Link Control,Higher of the two data link layer sublayers defined by the IEEE. The LLC sublayer handles error control
LLD,Low Level Design,"A solution design that details solution components and how they interact, including key configuration and connectivity elements for installation and support activities"
LLD,low level design ,
LLU Services,,A collective term referring to both the Unbundled Local Metallic Path service and the Line Sharing Service
LMR,Land Mobile Radio ,
LMSS,Land Mobile Satelite Services ,
LO,Local Oscillator ,
Load Balancing,,In routing
Local Bridge,,Bridge that directly interconnects networks in the same geographic area. 
Local Loop,,The communication line generally a two-wire copper POTS line between the customer's telephone and the phone company's central office. Expansion of customer services reqires higher bandwidth and the utilisation of the local loop for multimedia transmission using HDSL
Local Talk,,Apple Computer's proprietary baseband protocol that operates at the data link and physical layers of the OSI reference model. 
Local-Part,,The part of the e-mail addrss that identifies the user for which it was intended
Location,,The site where an incident has been reported 
Log,,Record of Calls 
LOL,Limit Of Liability ,
Loop Start LS,,"To start ""seize"" a phone line or trunk by giving it a supervisory signal. Typically"
Loopback,,A diagnostic test that turns the signal of a line back to its original source. The loopback may be either local at point of transmission
LOS,Line of Sight, microwave links 
LOS,Loss of Signal,The absence of pulses lasting for one millisecond or more. 
Lowlight (Service),,Negative Service Performance details for the reporting month
LPI,Lines Per Inch,The number of lines per inch that can be plotted by an output device
LPM,Lines Per Minute,A measure of speed of line printers or scanners. High-speed printers can output over 1200 lines per minute. 
LRB,,Loading
LRC,Longitudinal Redundancy Check,A method for checking errors that generates a byte from a specified string of bits on a longitudinal track. 
LRQA,Lloyd's Register Quality Assurance ,
LSC,Local System Controller,
LSU,Line Signalling Unit ,
LTE,Line Terminating Equipment ,
LTE,Long Term Evolution,Long Term Evolution - Progress over time
LTU,Line Terminating Unit BT Exchange ,
LU,Logical Unit,
LUHN check,,credit card digits check
LVD,Low Voltage Directive ,
LVM,logical volume manager,
LWI,Local Work Instructions,Instructions or Procedures necessary to preform a given task within the business.
Lync,Microsoft Lync Server,"Microsoft Lync Server (previously Microsoft Office Communications Server) is an enterprise real-time communications server, providing the infrastructure for enterprise instant messaging, presence, file transfer, peer-to-peer and multiparty voice and video"
M/F,Multi-Frequency ,
M2M,MACHINE TO MACHINE,
MAC,Media Access Control,Lower of the two sublayers of the data link layer defined by the IEEE. The MAC sublayer handles access to shared media
MAC,Multiplexed Analogue Components ,
MAC Address,,Standardised data link layer address that is required for every port or device that connects to a LAN. Other devices in the network use these addresses to locate specific ports in the network and to create and update routing tables and data structures. MAC addresses are 6 bytes long and are controlled by the IEEE. Also known as a hardware address
MAC Layer,,Media Access Control Layer. A layer e.g. CSMA/CD that controls access to the physical medium on a network that is shared between two or more entities. 
Macro,macroinstruction,in Excel squence of VBA instructions to perform atomation to some degree.
MAF,Management Application Function ,
Magic,Magic,
MagLock,"Magnetic Lock, consisting of a magnet and an armature plate",
MAI,Mobile Allocation Index ,
Mail Bomb,,The influx of a large amount of mail sent to a particular person or system causing this server to potentially break down due to the overload information. 
Mail Gateway,,Machine that connects two or more electronic mail systems especially dissimilar mail systems on two different networks and transfers messages between them. Sometimes the mapping and translation can be quite complex
Mail Server,,"The ""post office"" of a message network. A computer host with its attendant software that provides electronic mail services. "
Mailkick,,A process for initiating delivefy of messages to a customer via SMTP. 
Mainframe,,A powerful computer
MAN,Metropolitan area network,"A computer network that usually spans a city or a large campus. A MAN usually interconnects a number of local area networks (LANs) using a high-capacity backbone technology, such as fiber-optical links, and provides up-link services to wide area networks "
Managed Services,Managed Services,The practice of transferring day-to-day related management responsibility as a strategic method for improved effective and efficient operations inclusive of Production Support and lifecycle build/maintenance activities. The person or organization who owns
Management Processes,,Processes which provide control and direction to the business & other processes 
Management Team,,The Management Team consists of the Chief Executive and his direct reporting Managers 
MAP,Manufacturing Automation Protocol ,
MAP,Mobile Application Part,
MAPI,,Mail API. An Application Program Interface for sending and receiving mail over the Microsoft Mail messaging system. 
Master Copy,,
Master Copy,,
MATSE,Mobile Automatic Telephone System Europe. ,
MAX,Maximum ,
Mb,Megabits ,
MB,Megabytes ,
MBB,Mobile Broadband,Mobile Broadband - A services that use our 3G/4G mobile broadband devices for use in laptops/tablets to gain access to mobile data.
MBMS,Multimedia Broadcast/Multicast Service,
MBO,Main Breakout ,
Mbps,Megabits per second ,
M-Bracket,,Remote peripheral unit to pole bracket 
MC,Mission Critical,Use in SLAs between VTIS and opcos
MC,Mission Critical,
mCare,mCare,Self help services for customers on their mobile handset
mCare,My Vodafone,
MCB,Miniature Circuit Breaker ,
MCC,Mobile Country Code,
MCF,Message Communication Functions TMN ,
MCL,Mercury Communications Limited,
MCM,MATERIAL CATEGORY MANAGER,
MCU,Multipoint Control Unit,Endpoint on the LAN that provides the capability for three or more terminals and gateways to participate in a multipoint conference. 
MCV,Multi-Channel Voice Frequency ,
MDF,Main Distribution Frame,
MDG,MASTER DATA GOVERNANCE,
MDM,MASTER DATA MAINTAINENCE,
MDN, mobile data notifications,
MDNS,Managed Data Network Service ,
MDT,Manufacturer's Delegated Testing ,
MDTRS,Mobile Digital Trunked Radio Systems ,
ME,Maintenance Entities TMN ,
ME,Mobile Equipment ,
Media Server,,A large capacity computer with high bandwidth communication capabilities that serves as a database for an array of multimedia information such as voice mail
Media Type,,"As explained in RFC 1590 what was used to be called ""MIME types"" or ""Mime Content Types"" are now called ""Media Types"". They define the content of a file or attachment; for example the media type ""video.mpeg"" indicates that a file is an MPEG vdeo file. The type ""texts/html; version=3.0"" indicates that a file contains HTML source that relies on HTML 3.0"
MEF,Maintenance Entity Function TMN ,
MEG,Mobile Experts Group ,
Mega,,One million e.g. 1Mhz = 1 million Hertz 
Megabytes,,A bit is the smallest unit of information
Memory Caching,,Stores frequently used instruction sequences in a memory cache that is separate from the computer's main memory. They can be accessed more swiftly by the CPU
Mesh Network,,A leased line network in which each node has a minimum of two paths from every other node. In other words
Message Centre,,A centre
Message Packet,,A unit of information in network communication between devices. Messages are formed into packets at soruce
Message Switching,,Switching technique involving transmission of messages from node to node through a network. The message is stored at each node until such a time as a forwarding path is available. 
Methodology,,A style of planning which THUS will utilise and it is based on Business areas completing an analysis of their activities and the resources used to carry these out. These links are then prioritised to determine critical activities and resources which are then subject to a BIA analysis. 
MExE,Mobile Execution Environment,
MF,Medication Function Block TMN ,
MF,Mobile Forwarding,
MF,Multi Frquency ,
MFC,Multi Frequency Code ,
MGCF,Media Gateway Control Function ,
MGW,Media GateWay,
MHRP,Multi Host Routing Protocol ,
MHS,Message Handling System ,
Mhz,Megahertz,
MI,management information,
MI,Major Incident,
MIB,Management Information Base,Database of network management information that is used and maintained by a network management protocol such as SNMP or CMIP. The value of a MIB object can be changed or retrieved using SNMP or CMIP commands
MIC,Multiplex Interface Card ,
MIDA,Multiple Integrated Digital Access UK ,
Middleware,,
MiDI,Musical Instrument Digital Interface,A popular cross-platform format for sound files. 
Mid-Level Network,,Makes up the second level of the Internet hierarchy. They are the transit networks that connect the stub networks to the backbone networks. 
Migration,Migration,Transfer of a mobile subscription from one billing platform to another billing platform within the same provider
MIME,Multipurpose Internet Mail Extensions,The standard for attaching non-ASCII files to Internet mail messages. These files include graphics
Min,,Minute 
MIPS,Million Instructions Per Second. ,
MIR,Major Incident Report,
MIS,Management Information System,Also called Information Technology Managegment
Miss,,Failed Service Level Agreement Target
Mitigation Plan,,The action list or lists within a BCP that are triggered as soon as can be justified. Intended to reduce the likelihood of malfunction or loss of a resource
MIX,,Multiservice Interchange 
Mm Region,,As designated by the ITU
MMB,Milli-Metric Band ETSI ,
MMDS,Multichannel Multipoint Distribution Services ,
MMS,Multi-Media Service,A standard way to send messages that include multimedia content to and from mobile phones. It extends the core SMS (Short Message Service) capability that allowed exchange of text messages only up to 160 characters in length.
MNC,Mobile Network Code,
Mnemonic,,"A series of letters designed to aid the remembrance of a code or sequence. For example amp is a mnemonic for ""ampers and"""
MNO,Mobile Network Operator ,Vodafone/EE/O2 - Companies offering mobile services through fixed infrastructure
MNP,Mobile Number Portability,
MO,Mobile Originating,
Modem,,Modulator-Demodulator. One of the most important devices in data communicatins for access to the Internet.
Modulation,,A transmission technique that adds changes to fixed signals
Modulator,,A device to effect the process of modulation that varies a characteristic of one wave in accordance with some characteristic of another. 
Module,,in a library of Functions and or Procedure in the VB suite of products. A VB module can be in included into any of the Visual Basic family's projects i.e.. VBA & VB.Net  ASP.Net
MORAN,Multi Operator RAN,
Mori,,Planning system used by Commercial Change
MoU,,Memorandum of Understanding 
MP,,Multilink PPP. Proposed standard for inverse multiplexing
MP3,,MPEG Audio Layer 3. A popular digital compression format for music files. 
MPE,Multimedia Policy Engine,
MPE,Multimedia Policy Engine,
MPEG,Motion Picture Experts Group,Standard for compressing video. 
MPLS,Multi Protocol Label Switching,"mechanism in high-performance networks that directs data from one network node to the next based on short path labels rather than network addresses, avoiding complex lookups in a routing table."
MPLS,MultiProtocol Label Switching,A specification for layer 3 switching from the IETF. Similar to Cisco's tag switching
MPLS,Multiprotocol Label Switching,"MPLS is a highly scalable, protocol agnostic, data-carrying mechanism, allowing any-to-any connectivity via a meshed network. In an MPLS network, data packets are assigned labels. Packet-forwarding decisions are made solely on the contents of this label, "
MPP,Multichannel Point-to-Point Protocol,A protocol that extends the capabilities of MP to support inverse multiplexing
MPS,,platform that records IVR messages
MPTY,Multi Party Supplementary Service (Call Conference),
MRA,Multimedia Routing Agent,
MRFC,Multimedia Resource Function Controller,
MRN,Mobile Roaming Number ,
MRU,Mobile Radio Units ,
MS,Method Statement,
MS,Mobile Station,
MS,Mobile Station ,
MSC,Mobile Switching Centre,
MS-DOS,,see DOS 
MSIN,Mobile Station Identification Number ,
MSISDN,Mobile Subscriber Integrated Services Digital Network ,"Phone Number, CTN …etc."
MSP,Multiple Subscriber Profile,
MSRN,Mobile Station Roaming Number ,
MSS,Man Switching System ,
MT,Mobile Terminating,
MTA,Mail Transfer Agent,Software that implements SMTP and provides storage for mail messages to be forwarded or delivered to a local user. 
MTA,Message Transfer Agent,OSI application process used to store and forward messages in the X.400 Message Handling System. Equivalent to Internet mail agent. 
MTBF,Mean Time Between Failures,A measure of reliability
MTP,Message Transfer Part,
MTTR,Mean Time To Repair ,
MTTR,Mean Time To Restore,Time it takes to restore the service affected by and incident.
MTU,Maximum Transmission Unit,Maximum packet size
MTX,Mobile Telephone Exchange,
Multicast,,A form of broadcast in which a packet is delivered to a pre-defined subset of all possible destinations. Aspecific multicast destination address is used. 
Multimedia,,Integrated and concurrent communication of audio
Multimode Fibre,,The most commonly used type of fibre optic cable for communications. Has a core diameter of 25
Multiplexer,Multiplexer,"A multiplexer or mux is a device that selects one of several analog or digital input signals and forwards the selected input into a single line. A multiplexer of 2n inputs has n select lines, which are used to select which input line to send to the output"
Multiplexing,Multiplexing (also known as muxing),"A method by which multiple analog message signals or digital data streams are combined into one signal over a shared medium. The aim is to share an expensive resource. For example, in telecommunications, several telephone calls may be carried using one wi"
Multiprotocol Routing,,The ability to route multiple network protocols
Multi-tasking,,The ability of a computer to form a variety of tasks simultaneously. 
MUX,,Multiplexer. In general
MVNA,Mobile Virtual Network Aggregator,who aggregate services for a number of existing MVNOs.
MVNE,Mobile Virtual Network Enabler,MVNO however uses another MVNO's infrastructure to provide service to their customers
MVNO,Mobile Virtual Network Operator,"i.e. Lebara, ASDA Mobile - Using an MNO's infrastructure to run their own mobile services, buying in Bulk and sellin on line services."
MVNO,Mobile Virtual Network Operator,
MVPN,Mobile Virtual Private Network,Contains the phone number(s) necessary to route calls across the Mobile Network
N/A,Not Applicable ,
NA,Network Aspects ,
NAM,Network access module,
NAMAS,National Measurement Accreditation Service ,
Name Server,,In data communications
NAP,Network Access Points,Where ISPs agree to drop down their lines and establish peering arrangements and let their customers communicate. 
Narrowband,,Digital communication at the 64 Kbps or lower rate. 
NAS,Network Access Server,Cisco platform or collection of platforms such as an AccessPath system which interfaces between the packet world e.g. the internet and the circuit world e.g. the PSTN. 
NAT,network address translation,
NAT,Network Address Translation,Mechanism for reducing the need for globally unique IP addresses. NAT allows an organisation with addresses that are not globally unique to connect to the Internet by translating those addresses into globally routable address space. 
National Security,,The protection of information or other assets in the national interest of the UK
NAU,Network Addressable Unit,SNA term for an addressable entity. 
NBA,Next Best Advice,
NBA,Next Best Advice ,"Part of Accord, Agents use it to suggest added services to customers based on their history/usage..etc (upselling)"
NBD,Next Business Day,
NCA,Network Cost Analyser,Excel Template that captures itemised details of Fixed Network items and costs.
NC-Network Controller,,A powerful micro-processing device that translates communication protocols between terminals/ computers and an X.25 packet switching network. 
NCOP,Network Code of Practice,Specifications designed to ensure the quality of private networks connected to public switched telephones networks. 
NCR,Network Change Request,OLO/ BT documentation 
NDA,Non-Disclosure Agreement,"Legal contract between at least two parties that outlines confidential material, knowledge, or information"
NDC,National Destination Code,
NDS,Novel Directory System ,
NDU,Network Dial Up,A demon service that allows several computers to dial up to connect to the Internet through one connection. See SDU.
NE,Network Element,In OSS
NEBS,Network Equipment Building Standards,An extensive set or rigid standards governing the performance
NEF,Network Element Function Block TMN ,
NEMKO,,Norwegian Board for Testing and Approval of Electrical Equipment 
NEML,Network Element Management Layer ,
Nested,,An element which is entirely contained within another element 
NET,,Norme Europeenes de Telecommunication European Telecommunications Standards. / Abbreviation for Internet. 
NetBEUI,,NetBIOS Extended User Interface. Enhanced version of the NetBIOS protocol used by network operating systems such as LAN Manager
NetBIOS,,Network Basic Input/ Output System. A transport protocol connecting network hardware with the network operating system. There are a variety of NetBIOS implementations
NETCOOL (NET),,A proactive incident reported by Vodafone
Netiquette,,Unofficial rules and conventions of e-mail and chat room etiquette. For example
Netware,,A very popular Novell network operating system for LAN that runs on Intel platforms. Can imitate DOS and OS/2
Network Analyser,,A combined hardware and software device that monitors network traffic
Network Architecture,,The underlying design structure of a communications network that deals with access method and other fundamental issues such as redundancy
Network Layer,,Layer 3 of the OSI reference model. This layer provides connectivity and path selection between two end systems. The network layer is the layer at which routing occurs. 
Network Management System NMS,,A set of management procedures incorporating software
New Order eform,,New Order for an existing customer
New Order OMARS,,New Order for an existing customer
NewCo,NewCo,"One of our major change programmes over 2013/14.the New organisation we are creating in Vodafone UK by changing our customer facing technology and processes, such as billing."
Newsgroup,,An internet message area
NFC,Near Field Communication,Near Field Communication - A way phones/devices can transfer data/communicate with other devices within a very small field
NFF,No Fault Found ,
NFS,Network File System,
NGIN,Next Generation IN,
NGIN,Next Generation Intelligent Network,The intelligent part of the IMS network at the application layer.
NGIN-AS,Next Generation IN – Application Server,
NGN,Non-Geographic Number,08xx type numbers
NGNP,Non Geographic Number Portability,
NGPP,Next Generation Provisioning Portal,
NIC,Network Interface Card,Board that provides network communication capabilities to and from a computer system. 
N-ISDN,Narrowband ISDN,
NM,Network Management ,
NMC,Network Management Centre ,
NML,Network Management Layer ,
NMS,Network Management System,System responsible for managing at least part of a network. An NMS is generally a reasonably powerful and well-equipped computer such as an engineering workstation. NMSs communicate with agents to help keep track of network statistics and resources. 
NMSI,National Mobile Station Identification number ,
NNTP,Network News Transfer Protocol,
NOC,Network Operations Centre,"Network Operations Centre - Based in Bell House, Newbury. This is where we manage our network in the UK."
Node,,Endpoint of a network connection or a junction common to two or more lines in a network. Nodes
NOF,Network Operator Facility ,
Non-Blocking,,A switching technique that assures service availability under any load conditions. 
Non-Conforming Items,,Non-Conforming Itemsare output or deliverables which do not conform to requirements. These can be products
NORC,Network Operators Research Committee ,
NOS,Network Operating System,An operating system for networks or the software that runs on LANs. It manages the continual conversation between all computers on a network. 
NP,Network Performance ,
NP,Number Portability,
NPD,NEW PROJECT DEVELOPMENT,
NPS,Net Promoter Scor,"Net Promoter Score - The measure we use to understand how our customers feel about our company/customer service levels. The percentage is taken from the question ""would you recommend our Vodafone to your friends and colleagues?"" and averaged from scores out of 10, across the customer base."
NPV,NET PRESENT VALUE,
NRC,Non Reoccuring Charges ,
NREN,National Research & Education Network USA ,
NRZ,Non Return to Zero,A binary encoding scheme in which the bits are always represented as either positvie or negative
NSAI,National Standards Authority of Ireland ,
NSAP,Network Service Access Point. Network addresses,
NSN,Nokia Siemens Networks,Network Hardware Supplier
NSN,Nokia Siemens Networks,
NSP,Network Service Provider,An NSP is a company that provides Internet connectivity to ISPs and other organisations requiring high-speed access to the Internet. 
NSS,Network Subsystem ,
NST,Network Services Team in Tech Ops (NW),
NT,New Technology,The well known trade name is Windows NT
NTE,Network Terminating Equipment ,
NTK,Need To Know,"Need To Know - A set of communications that go out across the business, helping people stay up-to-date with all things they need to know as employees."
NTK,Need To Know,"A regular Communitcation to different parts of the business, providing information that needs to be known by employees."
NTK,Need To Know,
NTP,Network Termination Point ,
NTP,Network Time Protocol,Protocol built on top of TCP that assures accurate local time-keeping with reference to radio and atomic clocks located on the Internet. This protocol is capable of synchronising distributed clocks within milliseconds over long time periods. 
NTS,Number Translation Services ,
NTTA,Network Termination Test Apparatus ,
NTTP,Network Termination Test Point ,
NTU,Network Terminating Unit BT Customer premises ,
Num,Number ,
NVQ,National Vocational Qualification ,
NW,Network,
O&M Manual,Operations & Maintenance Manual ,
O/G,Out Going ,
O/P,Output ,
OAM,Operation and Maintenance,
OAO,Other Authorised Operator – the operator that is using the eircom,
Object,A unit of information,
OC3c SONET,,A SONET-based fibre-optic User-to Network Interface UNI
OCR,Optical Character Recognition,Scans the characters in a document and converts them into a standard
OCS,Office Communication Server,"Microsoft Lync Server (previously Microsoft Office Communications Server) is an enterprise real-time communications server, providing the infrastructure for enterprise instant messaging, presence, file transfer, peer-to-peer and multiparty voice and video"
OCS,Online Charging System,
Octave,,The interval between two frequencies having a ratio of two to one. 
ODB,Operator Determined Barring,
ODBC,Open Database Connectivity,Standard application programming interface for accessing data in both relational and nonrelational database management systems. Using this application programming interface
ODBC,Open Database Connectivity,a standard programming language middleware API for accessing database management systems (DBMS).
ODI,Open Data-Link Interface,Novell specification providing a standardised interface for NICs that allows multiple protocols to use a single NIC. 
ODI,ORACLE DATA INTEGRATOR,
OEM,Original Equipment Manufacturer. ,
OEM,Order Entry Management ,
OFCOM ,"Office of Communications. The Industry regulator, formerly OFTEL.",
Off-Hook,,When the telephone handset is lifted from its cradle
Office Communicator,Office Communicator,"Microsoft Lync Server (previously Microsoft Office Communicator) is an enterprise real-time communications server, providing the infrastructure for enterprise instant messaging, presence, file transfer, peer-to-peer and multiparty voice and video calling,"
OFTEL,Office of Telecommunications UK ,
OID,Oracle Internet Directory,
OLA,Operational Level Agreement between support teams,
OLE,Object Linking and Embedding,
OLO,Other Licensed Operator ,also referred to as 3rd party (OLO) - such as BT
OLTE,Optical Line terminating Equipment ,
OLTP,On-Line Transaction Processing,The ability of powerful
OMA,Open Mobile Alliance,
OMC,operations & maintenance centre,
ONA,Open Network Architecture,An FCC plan to allow equal access to basis telephony services in order to encourage competition between Service Providers
OneNet,OneNet,A product we offer to customers which connects their devices. Find more at Vodafone.com
On-line,,Refers to the period of time when you are connected to the Internet through your telephone line. 
ONP,Open Network Provision,The European Commission's proposed set of technical interfaces
ONU,Optical Network Unit ,
ONXP,One Net Express,
OO,Object Orientated ,
OOH,Out of Hours,
OOO,Out of Office,"A term used for when an employee of Vodafone is out of the office, or on annual leave and is unavailable."
OOP,Object-oriented programming,"a programming paradigm that represents the concept of ""objects"""
OOTB,Out Of The Box,
OP CO,OPERATING COMPANY,
OpCo,Operational Company,Vodafone Italy / Spain / Germany/ UK etc
Open Tickets (Incident),,Incidents open following reporting period
Operating Systems OS,,A software program which manages all the basic operations of a computer system
Opex,Operational Expenditure,Operational Expenditure - our ongoing operational costs
OPEX,OPERATIONAL EXPENDITURE,
OPGW,Optical Phase Ground Wire ,
OPH,Oracle Product Hub,
OPH,ORACLE PRODUCT HUB,
OPIIS,Operator Policies for IP Interface Selection,
OPP,Operator Provisioning Portal,A web portal on NGPP which can be used to provision on the A/S
Opportunity,,A qualified sales lead from an existing customer or prospect
Oracle Client,,A version of Oracle software for communicating with Oracle databases of x Version installed onto a local machine. (DBMS)
Oracle Driver,,software driver that allows communication programmatically with Oracle Databases via ODBC.
Oracle PL/SQL Developer,,a DBMS Tool Customer Report Team use to Prototype Queries when building Templates also Data mining analysis and investigation.
ORB,Opportunity Review Board,Forum for reviewing complex opportunities to make a bid or no-bid decision
ORD ,Order Received Date,Term used by GTES/UK TES Delivery Teams
Order Reference,,Vodafone order reference number
Organisation,,Group of people collectively responsible for a defined set of activities. 
ORR,Opportunity Review Request,Onboarding process :  pre-contract review
ORR,Operation Readiness Review ,CS&O review pre-contract sign)
OS/2,,An IBM mulit-tasking operating system that runs OS/2
OSA,Open Service Architecture,
OSD,Operational Service Description ,
OSF,Open Software Foundation,A US non-profit industry organisation dedicated to technological innovation in open computing environments. 
OSI,Open System Interconnection,A model forcomputer networking based on the seven-layer OSI reference model
